Date,Title,Teaser,Date_Link
20.04.2020,Belgien hat pro Kopf nun am meisten Todesfälle – und alles Weitere zum Coronavirus in 24 Grafiken,False,20.04.2020
20.04.2020,«Anfangs wähnten sie sich in den Ferien» – ein Teil der Pariser sitzt den Lockdown auf Frankreichs Atlantikinseln aus,False,20.04.2020
19.04.2020,Trump ist lieber Provokateur als Präsident,"Die Vorstellung als Krisenmanager scheint ihm keine Lorbeeren eingebracht zu haben. Also besinnt er sich auf das, was ihm stets Erfolg bescherte: Vernebelung, Provokation und unablässiger Angriff.",19.04.2020
19.04.2020,Après-Ski und Chöre sind die Corona-Virenschleudern Österreichs – in Tirol infizierten sich wohl Tausende von Deutschen,False,19.04.2020
19.04.2020,Die Schweiz glänzt bei der Corona-Hilfe – europäische Nachbarn tun sich schwerer,False,19.04.2020
19.04.2020,"Mehr als 40 000 Tote in den USA, Protest in Tel Aviv gegen «anti-demokratische» Einschränkungen – die neusten Entwicklungen zum Coronavirus weltweit",False,19.04.2020
19.04.2020,Ladenöffnungen nach dem Lockdown: Die Schweiz geht langsamer vor als Deutschland und Österreich,False,19.04.2020
19.04.2020,Warum Ferien zu Hause für Schweizer in diesem Sommer besonders günstig werden könnten,False,19.04.2020
19.04.2020,Ausstieg aus dem Corona-Lockdown: Viele offene Fragen in der Romandie,False,19.04.2020
19.04.2020,"Rund 150 000 Anträge von Selbständigen auf Entschädigung, Zürcher Stadtpolizei musste wegen Abstandsregel oft ausrücken – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,19.04.2020
19.04.2020,Eingriffe der Notenbank schädigen das Funktionieren der Märkte,False,19.04.2020
19.04.2020,Die Schweiz zählt aktuell mehr Todesfälle als bei einer schweren Grippewelle – und alles Weitere zum Coronavirus in 24 Grafiken,False,19.04.2020
19.04.2020,Interims-Kantonsärztin Meier: «Wird es mit dem Social Distancing an Grillpartys oder am See wirklich klappen? Da bin ich skeptisch»,False,19.04.2020
18.04.2020,"Bundespräsidentin Sommaruga: «Das Virus hält sich nicht an Pläne. Wir machen keine Versprechungen ins Blaue hinaus, sondern planen einen Schritt nach dem anderen»","Bundespräsidentin Simonetta Sommaruga verteidigt den Corona-Ausstiegsplan des Bundesrats. Sie spricht offen über Ungewissheiten, sorgenvolle Nächte, Klima-Investitionen und die Last des Notrechts.",18.04.2020
18.04.2020,Psychisch labile Menschen kommen in Krisenzeiten besonders unter die Räder,False,18.04.2020
17.04.2020,Nach dem Lockdown ist nicht vor dem Lockdown: Die Corona-Krise verändert das Konsumverhalten,False,18.04.2020
16.04.2020,"Coiffeursalons und Baumärkte werden geöffnet, Bars bleiben zu: Das bedeuten die gelockerten Vorschriften im Einzelnen",False,18.04.2020
17.04.2020,"Kein Mangel an Masken in der Schweiz, Kanton Zürich erlässt Gewerbetreibenden unter Umständen einen Teil der Miete – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,18.04.2020
18.04.2020,Corona-Wunder Deutschland: Warum die Bundesrepublik ganz passabel durch die Pandemie steuert,False,18.04.2020
18.04.2020,"Mindestens 7000 Corona-Tote in US-Seniorenheimen, aus den USA nach Guatemala deportierte Migranten waren infiziert – die neusten Entwicklungen zum Coronavirus weltweit",False,18.04.2020
18.04.2020,Wie #CoronaVirus die «Dickhäuter» provoziert. Und was Wikipedia damit zu tun hat,False,18.04.2020
17.04.2020,Ab 27. April geht’s nur noch mit vermummtem Gesicht zum Coiffeur – doch woher kommen die Masken?,False,18.04.2020
17.04.2020,Die Schweiz zählt aktuell mehr Todesfälle als bei einer schweren Grippewelle – und alles Weitere zum Coronavirus in 24 Grafiken,False,18.04.2020
17.04.2020,Die Kinder gelten nicht als Treiber der Coronavirus-Epidemie – Kontakte zu den Grosseltern soll es aber weiterhin nicht geben,False,18.04.2020
17.04.2020,Ab 27. April geht’s nur noch mit vermummtem Gesicht zum Coiffeur – doch woher kommen die Masken?,"Bis zu 150 000 Masken benötigt die Coiffeurbranche jede Woche, um die Arbeitnehmer ausstatten zu können. Doch selbst einfache OP-Masken sind nur schwer erhältlich. Der Apothekerverband spricht von einer Katastrophe.",17.04.2020
17.04.2020,Warum Schweizer Textilfirmen ins Maskengeschäft einsteigen,False,17.04.2020
17.04.2020,Streit um das Corona-Tracing: Der Schweizer Epidemiologe Salathé verkündet den Ausstieg aus dem paneuropäischen Projekt,False,17.04.2020
17.04.2020,Die Kinder gelten nicht als Treiber der Coronavirus-Epidemie – Kontakte zu den Grosseltern soll es aber weiterhin nicht geben,False,17.04.2020
16.04.2020,"Coiffeursalons und Baumärkte werden geöffnet, Bars bleiben zu: Das bedeuten die gelockerten Vorschriften im Einzelnen",False,17.04.2020
